Date,Price
5/3/24,77.76
5/2/24,78.48
5/1/24,78.44
4/30/24,81.28
4/29/24,82.03
4/26/24,83.13
4/25/24,82.75
4/24/24,82.09
4/23/24,82.56
4/22/24,81.9
4/19/24,82.22
4/18/24,82.1
4/17/24,82.15
4/16/24,84.83
4/15/24,84.86
4/12/24,85.08
4/11/24,84.45
4/10/24,85.44
4/9/24,84.46
4/8/24,85.53
4/5/24,86.1
4/4/24,85.81
4/3/24,84.61
4/2/24,84.22
4/1/24,82.82
3/28/24,82.42
3/27/24,80.78
3/26/24,81.04
3/25/24,81.38
3/22/24,80.17
3/21/24,80.64
3/20/24,81.27
3/19/24,82.73
3/18/24,82.16
3/15/24,80.58
3/14/24,80.74
3/13/24,79.3
3/12/24,77.25
3/11/24,77.53
3/8/24,77.5
3/7/24,78.32
3/6/24,78.41
3/5/24,77.41
3/4/24,78.17
3/1/24,79.09
2/29/24,77.45
2/28/24,77.83
2/27/24,78.23
2/26/24,77.09
2/23/24,76.08
2/22/24,77.93
2/21/24,77.31
2/20/24,77.04
2/19/24,78.11
2/16/24,78.46
2/15/24,77.59
2/14/24,76.36
2/13/24,77.56
2/12/24,76.82
2/9/24,76.77
2/8/24,76.19
2/7/24,73.91
2/6/24,73.37
2/5/24,72.85
2/2/24,72.3
2/1/24,73.79
1/31/24,75.71
1/30/24,77.65
1/29/24,76.67
1/26/24,77.86
1/25/24,77.19
1/24/24,74.98
1/23/24,74.27
1/22/24,74.76
1/19/24,73.25
1/18/24,73.95
1/17/24,72.48
1/16/24,72.52
1/15/24,72.79
1/12/24,72.79
1/11/24,72.09
1/10/24,71.44
1/9/24,72.29
1/8/24,70.92
1/5/24,73.86
1/4/24,72.36
1/3/24,72.89
1/2/24,70.62
1/1/24,71.97
12/29/23,71.84
12/28/23,71.97
12/27/23,74.34
12/26/23,75.71
12/25/23,73.79
12/22/23,73.73
12/21/23,74.06
12/20/23,74.45
12/19/23,73.94
12/18/23,72.82
12/15/23,71.78
12/14/23,71.91
12/13/23,69.72
12/12/23,68.85
12/11/23,71.56
12/8/23,71.44
12/7/23,69.59
12/6/23,69.65
12/5/23,72.53
12/4/23,73.32
12/1/23,74.25
11/30/23,76.05
11/29/23,77.99
11/28/23,76.59
11/27/23,75.09
11/24/23,75.77
11/23/23,76.34
11/22/23,77.25
11/21/23,77.92
11/20/23,77.83
11/17/23,76.04
11/16/23,73.09
11/15/23,76.79
11/14/23,78.17
11/13/23,78.19
11/10/23,77.15
11/9/23,75.75
11/8/23,75.31
11/7/23,77.21
11/6/23,80.6
11/3/23,80.23
11/2/23,82.16
11/1/23,80.1
10/31/23,80.5
10/30/23,81.68
10/27/23,84.7
10/26/23,82.54
10/25/23,84.69
10/24/23,82.97
10/23/23,84.42
10/20/23,88.08
10/19/23,88.37
10/18/23,87.27
10/17/23,85.44
10/16/23,85.26
10/13/23,86.35
10/12/23,81.8
10/11/23,82.07
10/10/23,84.13
10/9/23,84.6
10/6/23,81.28
10/5/23,80.81
10/4/23,82.55
10/3/23,87.44
10/2/23,87.17
9/29/23,88.8
9/28/23,89.59
9/27/23,91.3
9/26/23,88.78
9/25/23,88.17
9/22/23,88.35
