asset,horizon,predictor,coef,se,t,p,r2,n,corr
SPY,monthly,d_gs3m,0.025368385206147072,0.050767634393022835,0.49969602699537113,0.6172891304252512,0.011973650471141961,90,0.10942417681272211
SPY,monthly,d_gs10,-0.03588373385548287,0.03043360729904442,-1.179082502540196,0.23836532528012389,0.033611186648313196,90,-0.1833335393437687
MSFT,monthly,d_gs3m,-0.010855341647381386,0.042799795554276904,-0.2536306892778284,0.7997808850971142,0.001546281093045776,90,-0.039322780840701684
MSFT,monthly,d_gs10,-0.06710831313465446,0.029519008408698554,-2.273393204999367,0.023002495260701656,0.08290901586782506,90,-0.28793925725372205
