asset,trend_var,coef_trend,se_trend,t_trend,p_trend,r2,n
SPY,d_spy_earnings_2q,-0.013647855174391894,0.009894395607007308,-1.3793520813667839,0.16778622595536918,0.002015667226754392,1697
SPY,d_spy_earnings_3q,-0.010300485101546734,0.006953883481968196,-1.4812564990852177,0.13853823567304524,0.0020346633889538612,1634
SPY,d_spy_earnings_4q,-0.008493948402442691,0.005843859852333107,-1.4534825641055649,0.14608981730222878,0.0021071398099133942,1571
MSFT,d_msft_earnings_2q,-0.008319409611212485,0.011175988147726003,-0.7444003609564716,0.45663430068228883,0.0017143885511389234,1698
MSFT,d_msft_earnings_3q,-0.00400095802740862,0.0048807119809441794,-0.8197488487396116,0.4123592963954802,0.001763180087188232,1635
MSFT,d_msft_earnings_4q,0.0049584580318660825,0.009458336128471693,0.5242421039510345,0.6001101596846097,0.0015778163018679292,1572
