date,spy_price,msft_price,eth_price,oil_price,spy_earnings,msft_earnings,eth_fees,oil_consumption,GS3M,GS10,spy_price_ret1d,msft_price_ret1d,eth_price_ret1d,oil_price_ret1d,spy_price_ret5d,msft_price_ret5d,eth_price_ret5d,oil_price_ret5d,spy_price_ret10d,msft_price_ret10d,eth_price_ret10d,oil_price_ret10d,spy_price_ret1d_lag1,msft_price_ret1d_lag1,eth_price_ret1d_lag1,oil_price_ret1d_lag1,d_spy_earnings,d_msft_earnings,d_eth_fees,d_oil_consumption,spy_earnings_lag1,spy_earnings_lag3,spy_earnings_lag5,spy_earnings_lag10,msft_earnings_lag1,msft_earnings_lag3,msft_earnings_lag5,msft_earnings_lag10,eth_fees_lag1,eth_fees_lag3,eth_fees_lag5,eth_fees_lag10,oil_consumption_lag1,oil_consumption_lag3,oil_consumption_lag5,oil_consumption_lag10,spy_earnings_shock,msft_earnings_shock,eth_fees_shock,oil_consumption_shock,regime_low,regime_mid,regime_high
2018-01-02,2695.8,85.95,858.78,60.38,,,6029633.07,637495.0,1.42,2.46,0.006396886240522338,0.004643072763829302,0.09250311280708913,0.019191928351769732,0.02037852092883888,0.026067962847935423,0.4019890346667006,0.04041117811627696,0.03885255143194793,0.04759828543364402,0.16959113989256983,0.056974377179326505,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0
2018-01-03,2713.1,86.35,942.01,61.55,,,7576743.21,637495.0,1.39,2.44,0.004009495724711302,0.008762883238112994,-0.0021360149672198948,0.0056703270600879496,0.012854259352982202,0.016880460540883716,0.28128165869810356,0.029929416479738836,0.03081298368073478,0.042511360021604654,0.05453587391926972,0.03731300198378937,0.006396886240522338,0.004643072763829302,0.09250311280708913,0.019191928351769732,,,0.25658445912696304,,,,,,,,,,6029633.07,,,,637495.0,,,,0,0,0,0,1,0,0
2018-01-04,2724.0,87.11,940.0,61.9,,,7217493.84,637495.0,1.39,2.46,0.007023733879307484,0.0123218900692888,0.023934671040176256,-0.007947491349242568,0.015879130355252943,0.011073804583623883,0.18894848628156363,0.028350361845577224,0.031189850925614552,0.03263798249946447,0.09395529718149903,0.02252311486548484,0.004009495724711302,0.008762883238112994,-0.0021360149672198948,0.0056703270600879496,,,-0.04741474800490175,,,,,,,,,,7576743.21,,,,637495.0,,,,0,0,0,0,1,0,0
2018-01-05,2743.2,88.19,962.77,61.41,,,6673681.98,637495.0,1.37,2.47,0.001639075928341023,0.0010200034884462292,0.15953870442539864,0.005035339153652173,0.015553538123414007,0.015861742080795257,0.26682775861918673,0.04489770292839332,0.03221109868180592,0.03804685812702778,0.033008589632348866,0.03456897260700954,0.007023733879307484,0.0123218900692888,0.023934671040176256,-0.007947491349242568,,,-0.07534635595892647,,,,,,,,,,7217493.84,6029633.07,,,637495.0,637495.0,,,0,0,0,0,1,0,0
2018-01-08,2747.7,88.28,1129.3,61.72,,,5574568.29,637495.0,1.43,2.49,0.0013093291559568903,-0.0006798867117419655,0.12814856136125627,0.01846107490000967,0.010390926388377221,0.0007926173771696075,-0.10169731004115125,0.031105466533973853,0.0327229024458872,0.04018744797310572,-0.13876447666939748,0.04110711265181172,0.001639075928341023,0.0010200034884462292,0.15953870442539864,0.005035339153652173,,,-0.1646937467643611,,,,,,,,,,6673681.98,7576743.21,,,637495.0,637495.0,,,0,0,0,0,1,0,0
2018-01-09,2751.3,88.22,1283.7,62.87,,,7294218.7,637495.0,1.42,2.55,-0.0011273753353343542,-0.004544429543222346,-0.028204263161507915,0.008710166715231706,0.01847403050310912,0.021530322585708483,-0.2323978947741308,0.01656319906304965,0.03084985555664991,0.0399964441442822,-0.1884633046918453,0.03884134815677774,0.0013093291559568903,-0.0006798867117419655,0.12814856136125627,0.01846107490000967,,,0.30848136044629926,,,,,,,,,,5574568.29,7217493.84,6029633.07,,637495.0,637495.0,637495.0,,0,0,0,0,1,0,0
2018-01-10,2748.2,87.82,1248.0,63.42,,,7874410.34,637495.0,1.4,2.55,0.007034366726982012,0.0029562272808531845,-0.09446918738375977,0.004091272425926266,0.017958724327752487,0.02563089948072082,-0.22674578477883367,0.007383585504050721,0.03257617043461267,0.0500798506509652,-0.17446786256130709,0.030284168514436945,-0.0011273753353343542,-0.004544429543222346,-0.028204263161507915,0.008710166715231706,,,0.07954130029032447,,,,,,,,,,7294218.7,6673681.98,7576743.21,,637495.0,637495.0,637495.0,,0,0,0,0,1,0,0
2018-01-11,2767.6,88.08,1135.5,63.68,,,7679163.17,637495.0,1.41,2.54,0.006698141647468513,0.017109827566460185,0.1018139433777995,0.008599849733573504,0.015310720570361465,0.02156417791584064,-0.09499318910006453,-0.005827246980092423,0.03734145392672503,0.06568738410247743,-0.08114415067507624,0.03532955169865185,0.007034366726982012,0.0029562272808531845,-0.09446918738375977,0.004091272425926266,,,-0.024795148026283798,,,,,,,,,,7874410.34,5574568.29,7217493.84,,637495.0,637495.0,637495.0,,0,0,0,0,1,0,0
2018-01-12,2786.2,89.6,1257.2,64.23,,,10801264.87,637495.0,1.41,2.55,-0.003523535806695849,-0.014049121215179431,-0.20898636423493927,-0.008756897240767147,0.016657560558392112,0.02218511604623246,-0.23381916898683786,-0.010328730321383794,0.0238676507046382,0.04708803609890158,-0.06761887834515323,0.017898950303483464,0.006698141647468513,0.017109827566460185,0.1018139433777995,0.008599849733573504,,,0.4065679594095666,,,,,,,,,,7679163.17,7294218.7,6673681.98,,637495.0,637495.0,637495.0,,0,0,0,0,1,0,0
2018-01-16,2776.4,88.35,1020.1,63.67,,,4818898.03,637495.0,1.43,2.54,0.009392433270688677,0.020057818496796803,-0.0025520233717231367,0.003918807429085258,0.022331976057510115,0.03939483059593601,-0.03706716662824622,0.010001646117837862,0.016432462347043524,0.04849368019760941,0.04953211300900056,0.010623440013201545,-0.003523535806695849,-0.014049121215179431,-0.20898636423493927,-0.008756897240767147,,,-0.5538579890412408,,,,,,,,,,10801264.87,7874410.34,5574568.29,,637495.0,637495.0,637495.0,,0,0,0,0,1,0,0
