asset,bundle,variable,coef,std_err,t,p,r2,r2_adj,n,start,end
SPY,activity,const,-0.00596139759382765,0.007168855337630079,-0.8315689622770938,0.4056522874035269,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,d_spy_earnings,-0.019088230601824616,0.007547752521705809,-2.5289952932254636,0.01143895612037081,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,spy_earnings_lag1,9.383777495505908e-10,7.331240021077122e-10,1.2799713920875315,0.20055519734888483,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,d_msft_earnings,0.011520749367400926,0.00679356391199812,1.6958329260808336,0.08991752501555184,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,msft_earnings_lag1,-0.0001457756581594366,0.000131799791480936,-1.1060386099360566,0.26870980817780976,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,d_eth_fees,-7.238939725343519e-05,0.0001338738728274955,-0.5407283417184267,0.5886948405680159,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,eth_fees_lag1,-3.499428408763898e-11,2.709223534244309e-11,-1.2916720840977056,0.19647072893187245,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,d_oil_consumption,0.0030430961847678056,0.005422856361214986,0.5611611265480767,0.5746877006712334,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
SPY,activity,oil_consumption_lag1,-8.352997456608975e-10,1.0126138547047782e-08,-0.08248946444688181,0.9342574959361766,0.0031521122568215487,-0.0019533826868054494,1571,2019-04-30,2025-07-29
MSFT,activity,const,-0.011342067309273094,0.011832061581332078,-0.9585875826718087,0.33776655050136595,0.002562032563509953,-0.002546484555242756,1571,2019-04-30,2025-07-29
MSFT,activity,d_spy_earnings,-0.025291630741842368,0.012821030429100197,-1.97266755442974,0.048533450861367004,0.002562032563509953,-0.002546484555242756,1571,2019-04-30,2025-07-29
